Date,Acc Code,Je Source,Category,Journal Name,Gl Doc Num,Description,GL Line Description,GL Line Num,Party/Customer Name,Reference Number,Sub Doc Num,Sub Ledger Description,Accounted Dr,Accounted Cr
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076313 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166087,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1000
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076318 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166293,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1700
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076351 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166242,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,4808
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076377 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166319,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,500
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076383 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166381,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076390 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165944,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,99
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076406 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166298,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2500
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076410 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166082,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,250
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076412 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166211,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,600
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076416 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166228,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,700
